模块,一级功能,二级功能,需求描述,功能验收标准,优先级,实现范围
消息管理,邮件接入,邮箱绑定,支持用户在个人中心绑定多个邮箱账号，系统自动同步该邮箱的收件箱、已发送、草稿箱、垃圾箱邮件,用户可以完成邮箱绑定的新增和解除操作，绑定后系统自动同步邮件数据,P0,一期
消息管理,邮件查看,邮件列表查看,用户可在邮件模块左侧列表查看当前邮箱的收件箱、已发送、草稿箱、垃圾箱四个文件夹的邮件列表,用户切换文件夹后可看到对应邮件列表，列表展示发件人/收件人、主题、邮件摘要、时间等信息，默认按时间倒序排列,P0,一期
消息管理,邮件查看,邮件正文查看,用户点击邮件列表项后，中栏展示邮件完整内容，包括主题、发件人、收件人、时间、来源站点、正文和附件,用户点击任意邮件后可阅读邮件完整正文内容，附件支持点击下载,P0,一期
消息管理,邮件查看,邮件未读/已读管理,系统自动标记邮件为已读，未读邮件在列表中加粗显示，支持批量标记已读,用户查看邮件详情后自动标记为已读，未读邮件主题加粗区分，支持批量将多封邮件标记为已读,P0,一期
消息管理,邮件查看,邮件搜索,支持在当前邮箱内按邮件正文、主题、发件人/收件人关键词搜索邮件,用户在搜索框输入关键词后，列表实时展示匹配的邮件结果,P0,一期
消息管理,邮件管理,写邮件,支持用户新建邮件，填写收件人、抄送、密送、主题、正文并添加附件后发送,用户可完整撰写并发送邮件，支持富文本编辑、附件上传（单附件≤100MB，最多9个）、抄送和密送功能,P0,一期
消息管理,邮件管理,回复邮件,支持在邮件正文页点击回复，自动带入原邮件内容和收件人并添加"Re:"前缀,用户点击回复后自动打开撰写页签，原邮件内容和收件人自动带入，主题自动添加"Re:"前缀,P0,一期
消息管理,邮件管理,转发邮件,支持在邮件正文页点击转发，自动带入原邮件正文和附件，收件人留空并添加"Fwd:"前缀,用户点击转发后自动打开撰写页签，原邮件正文和附件自动带入，主题自动添加"Fwd:"前缀,P0,一期
消息管理,邮件管理,邮件删除,支持将邮件从收件箱、已发送移至垃圾箱，已生成线索不同步删除,用户删除邮件后邮件进入垃圾箱，已生成的线索不受影响,P0,一期
消息管理,邮件管理,邮件批量删除,支持在邮件列表中多选后批量删除至垃圾箱,用户勾选多封邮件后点击批量删除，所有选中邮件移至垃圾箱,P0,一期
消息管理,邮件管理,邮箱切换,支持在顶部导航下拉切换当前查看的邮箱账号，切换后列表刷新并默认进入收件箱,用户切换邮箱后列表区自动刷新为对应邮箱的收件箱数据并选中第一封邮件,P0,一期
消息管理,邮件管理,草稿管理,支持在写邮件时手动保存草稿，草稿箱中可继续编辑或删除草稿,用户在撰写邮件时可手动保存草稿，草稿箱中显示保存的草稿列表，支持继续编辑、删除和批量删除,P0,一期
消息管理,邮件管理,垃圾箱管理,支持查看垃圾箱邮件，支持恢复、永久删除、清空垃圾箱，超过30天自动清理,用户可在垃圾箱中查看已删除邮件，支持单条或批量恢复至原文件夹，支持永久删除和清空垃圾箱，系统自动清理超过30天的邮件,P0,一期
消息管理,WhatsApp接入,WhatsApp账号绑定,支持用户在个人中心绑定WhatsApp账号并指定归属站点，系统同步该账号的会话数据,用户可以完成WhatsApp账号的绑定和解绑操作，绑定后系统自动同步会话列表和消息记录,P0,一期
消息管理,WhatsApp会话管理,联系人列表查看,用户在WhatsApp模块左侧列表可查看所有联系人，展示头像、名称、最近消息摘要和时间,用户进入WhatsApp模块后可看到所有会话联系人列表，列表项显示头像、名称、最近一条消息摘要和时间,P0,一期
消息管理,WhatsApp会话管理,会话消息查看,用户选中联系人后，中栏展示完整的会话消息记录，按时间正序排列，支持查看文本、图片和文件消息,用户点击联系人后可查看完整会话记录，文本正常显示、图片可预览、文件可下载，消息显示发送时间和头像,P0,一期
消息管理,WhatsApp会话管理,发送消息,支持在会话中发送文本消息、图片和文件，支持Enter发送和Shift+Enter换行,用户在消息输入区可输入文本发送，支持上传图片和文件发送，发送成功后消息显示在会话中,P0,一期
消息管理,WhatsApp会话管理,消息搜索,支持按联系人名称、企业名称、消息内容搜索会话,用户在搜索框输入关键词后，左侧联系人列表实时过滤匹配的会话,P0,一期
消息管理,WhatsApp会话管理,消息刷新,支持手动刷新会话列表获取最新消息,用户点击刷新按钮后会话列表重新加载最新数据,P0,一期
AI智能能力,AI询盘识别,AI自动识别有效询盘,系统自动分析邮件和WhatsApp消息内容，判断是否为有效询盘（产品咨询、价格询问、采购需求等），自动回复和广告等无效消息不生成线索,系统对每封邮件和每条WhatsApp消息进行AI分析，有效询盘自动标识，无效消息不处理，AI不可用时自动降级为规则引擎,P0,一期
AI智能能力,AI自动生成线索,AI自动生成销售线索,AI识别有效询盘后，自动提取联系人信息、企业信息、业务信息，自动创建销售线索并归属给对应的业务员,有效询盘被AI识别后系统自动创建线索，线索包含联系人姓名、企业名称、意向产品、联系方式等字段，自动归属收件邮箱/账号对应的业务员,P0,一期
AI智能能力,AI意向分析,AI意向总结,AI对邮件和WhatsApp会话内容生成100-200字的自然语言意向总结，包含客户需求、预算信号、痛点及销售建议,用户在邮件正文或WhatsApp会话右侧AI面板中可查看AI生成的意向总结内容,P0,一期
AI智能能力,AI意向分析,AI意向产品识别,AI自动识别客户感兴趣的产品类目，在线索生成时写入线索字段,AI分析后意向产品信息在邮件和WhatsApp的AI面板中展示，生成线索时自动写入线索,P0,一期
AI智能能力,AI企业情报,AI企业信息提取,AI自动提取联系人所对应的企业公开信息，包括企业名称、基本信息、工商信息、行业、规模、成立时间、注册资本、主营业务等,AI在企业情报库面板中展示提取的企业信息，已存在于CRM的客户显示查看已有客户档案入口,P0,一期
AI智能能力,AI企业情报,AI参展资料分析,AI提取企业历史参展信息，包括参展次数、最近参展时间、展会名称、参展活跃度等,AI在参展资料面板中展示企业历史参展信息，供销售参考,P0,一期
AI智能能力,AI风险提醒,AI风险识别,AI识别安全与合规风险，如发件邮箱与官方域名差异等异常情况并给出提示,AI在风险提醒面板中展示识别的风险信息，帮助销售进行二次身份校验,P0,一期
AI智能能力,AI标签,AI分析标签,AI自动为消息生成分析标签（如价格敏感、采购意向强等），展示于AI面板只读,AI分析标签在邮件和WhatsApp的AI面板中展示，有效线索生成时自动写入线索标签,P1,一期
AI智能能力,AI批量提炼,批量AI提炼,支持对同一邮箱下最多50封邮件进行批量AI分析，并将提炼结果生成PDF文件下载至本地,用户多选邮件后点击批量AI提炼，系统分析完成后自动生成PDF并下载至本地,P1,一期
线索管理,线索列表,线索列表查看,用户在线索中心可查看有权限的全部线索列表，列表展示线索编号、询盘联系人、来源、负责人、状态、阶段、标签、意向产品、最近跟进、创建时间等信息,用户进入线索列表后可看到完整的线索数据表格，支持按状态、时间、关键词等多维度筛选和分页浏览,P0,一期
线索管理,线索列表,线索筛选与查询,支持按站点、创建时间、关键词、状态、阶段、意向产品、来源渠道、负责人、标签等多维度筛选线索,用户可通过筛选条件快速定位目标线索，筛选结果实时更新列表数据,P0,一期
线索管理,线索列表,线索批量导出,支持将选中的或当前筛选结果中的线索导出为CSV文件，单次最多10000条,用户选择线索后点击批量导出，系统生成CSV文件供下载，超出上限时提示缩小范围,P0,一期
线索管理,线索详情,线索详情查看,用户点击线索编号进入详情页，查看线索完整信息包括基础信息、跟进日志、关联合同和客户画像,用户可在线索详情页查看完整的线索信息和关联数据,P0,一期
线索管理,线索详情,跟进日志查看,线索详情页时间轴展示该线索全生命周期记录，包括创建、状态变更、跟进记录等，支持按时间排序,用户在线索详情页可查看完整的跟进历史时间轴,P0,一期
线索管理,线索详情,关联合同查看,在线索详情页查看该线索关联的合同信息，包括合同编号、名称、金额、状态和签约时间,用户可在线索详情页查看已关联的合同列表,P0,一期
线索管理,线索操作,新增线索（人工）,支持手动新增线索作为AI自动生成的兜底入口，填写企业名称、联系人、联系方式、来源站点等信息,用户可通过表单手动创建线索，填写必填信息后保存成功，线索状态默认待跟进,P0,一期
线索管理,线索操作,编辑线索,支持编辑线索的企业名称、联系人、联系方式、来源站点、意向产品等字段,用户可修改线索信息，修改后AI不再覆盖人工编辑的字段,P0,一期
线索管理,线索操作,录入跟进记录,支持在线索详情页或列表中选择线索录入跟进记录，记录跟进方式、跟进内容、当前阶段和下次跟进时间,用户可录入跟进记录，首次录入后线索状态自动变为跟进中，跟进记录不可修改和删除,P0,一期
线索管理,线索操作,线索打标签,支持为线索添加人工标签（来自字典）和AI标签，支持批量打标签,用户可为单条或批量线索添加标签，标签支持删除，热门标签快捷添加,P0,一期
线索管理,线索操作,线索转客户,支持将线索转化为客户资产，系统自动创建客户档案、客户联系人并保留原线索关联,用户执行转客户后，系统创建客户和客户联系人，线索状态变为已转客户，保留历史跟进记录,P0,一期
线索管理,线索操作,标记异常,支持将线索标记为无效或丢失，填写子类型和备注，标记后线索进入终态,用户标记异常后线索状态变更为无效或丢失，线索不物理删除，公海池中不可再分配,P0,一期
线索管理,线索操作,变更负责人,支持将单条线索变更给其他业务员，仅变更本条线索,用户选择新负责人并填写备注后，线索负责人变更，生成跟进记录,P0,一期
线索管理,线索操作,关联消息查看,支持查看线索关联的邮件和WhatsApp消息记录,用户在线索详情页可跳转查看关联的邮件或WhatsApp消息,P0,一期
公海池,公海线索管理,公海池列表查看,运营专员和系统管理员可在公海池查看所有待分配的线索，展示线索编号、联系人、来源渠道、入池时间、入池原因等字段,用户进入公海池后可查看完整的公海线索列表，支持按站点、时间、关键词等筛选,P0,一期
公海池,公海线索管理,公海线索分配,支持将公海池中的待分配线索分配给指定的业务员，支持单条和批量分配,用户选择目标负责人后分配成功，线索状态由待分配变为待跟进并从公海池移出至负责人线索列表,P0,一期
公海池,公海线索回收,自动回收公海,系统根据未跟进自动回收天数配置，定时扫描超时未跟进的待跟进和跟进中线索，自动回收至公海池并清空负责人,系统每日自动执行回收任务，超时线索进入公海池，负责人清空，保留历史跟进记录,P0,一期
公海池,公海线索回收,手动回收公海,运营专员可手动将线索回收至公海池，支持除已成交外的全部状态,运营专员执行手动回收后线索进入公海池，负责人清空,P0,一期
客户管理,客户列表,客户列表查看,用户在客户中心可查看有权限的全部客户列表，展示客户名称、编号、所属站点、国家、行业、潜质分级、负责人、标签、关联线索数、关联合同数等信息,用户进入客户列表后可看到完整的客户数据表格，支持按关键词、国家、行业、潜质分级、负责人、站点筛选,P0,一期
客户管理,客户列表,客户筛选与查询,支持按客户名称/编号关键词、国家/地区、行业、客户潜质分级、负责人、站点等多维度筛选客户,用户可通过筛选条件快速定位目标客户，筛选结果实时更新列表数据,P0,一期
客户管理,客户操作,新建客户,支持手动新建客户，填写客户名称、国家/地区、行业、客户潜质分级、所属站点、联系人信息等,用户填写必填信息后保存成功，新建客户时支持关联已有线索，客户唯一键为所属站点+企业名称,P0,一期
客户管理,客户操作,编辑客户资料,支持编辑客户的国家/地区、行业、客户潜质分级等信息，客户名称和所属站点不可修改,用户可修改客户资料，编辑后生成跟进记录记录变更内容,P0,一期
客户管理,客户操作,客户打标签,支持为客户添加人工标签，标签来自字典管理配置，支持新增和移除,用户可为客户添加或移除标签，客户标签独立于线索标签，不受AI影响,P0,一期
客户管理,客户操作,变更客户负责人,支持将单条或批量客户变更给其他业务员，变更后后续新线索归新负责人,用户选择新负责人后客户负责人变更，后续该客户的新线索自动分配给新负责人,P0,一期
客户管理,客户详情,客户详情查看,点击客户名称进入详情页，查看客户完整信息包括基础信息、线索记录、客户联系人、合作合同和AI客户画像,用户可在客户详情页查看完整的客户信息和关联数据，支持5个标签页切换浏览,P0,一期
客户管理,客户详情,客户联系人管理,支持在客户详情页查看、新增、编辑和删除客户联系人，联系人信息包括姓名、职位、邮箱、电话、WhatsApp、联系角色、主要联系人标识,用户可在客户详情页管理联系人，支持设置唯一主要联系人，删除为逻辑删除,P0,一期
客户管理,客户详情,关联线索查看,在客户详情页查看该客户关联的全部历史线索，支持按来源站点和线索状态筛选,用户可查看客户关联的所有线索记录,P0,一期
客户管理,客户详情,AI客户画像查看,在客户详情页查看从线索同步的AI企业信息和画像数据，支持人工编辑,用户可查看AI客户画像，包括企业画像、参展资料、风险信息，人工编辑后AI不再覆盖,P0,一期
合同管理,合同记录,合同列表查看,用户在合同中心可查看有权限的全部合同列表，展示合同编号、名称、客户、金额、签约日期、状态、负责人、附件等信息,用户进入合同中心后可看到完整的合同数据表格，支持按合同编号、客户名称、签约日期、状态、负责人筛选,P0,一期
合同管理,合同记录,新增合同,支持手动录入合同信息，包括合同编号、名称、关联客户、关联线索、金额、签约日期、状态和附件,用户填写必填信息后保存成功，合同编号在所属站点内唯一，负责人默认当前用户或自动继承客户负责人,P0,一期
合同管理,合同记录,编辑合同,支持编辑合同名称、金额、签约日期、状态，合同编号和关联客户不可修改,用户可修改合同信息，合同状态流转仅允许向目标状态变更,P0,一期
合同管理,合同记录,终止合同,支持将执行中的合同终止，终止后合同状态变为已终止,用户执行终止操作后合同状态变更为已终止，保留历史记录,P0,一期
合同管理,合同记录,作废合同,支持将已签约或执行中的合同作废，需填写作废原因，作废后逻辑删除历史保留,用户执行作废后合同状态变更为已作废，列表不可见但历史保留不物理删除,P0,一期
合同管理,合同记录,合同详情查看,点击合同编号进入详情页，查看合同完整信息包括基本信息、关联信息、附件和操作记录,用户可在合同详情页查看合同的完整信息和历史操作记录,P0,一期
工作台,销售工作台,今日待办查看,用户登录后进入工作台首页，查看待回复线索、待分配线索、邮件未读、跟进超时、新增线索等今日待办卡片,用户可在工作台查看各待办卡片的数据统计，点击卡片跳转至对应功能页面,P0,一期
工作台,销售工作台,业务概览查看,在工作台查看成交金额、我的客户、我的合同、我的线索等业务概览数据,用户在工作台可查看核心业务数据概览,P0,一期
工作台,销售工作台,异常提醒查看,在工作台查看无效/丢失线索、超期回收线索、异常站点等异常提醒,用户在工作台可查看异常数据提醒并跳转处理,P0,一期
工作台,销售工作台,快捷入口,在工作台提供邮件、WhatsApp、线索列表、公海池、客户列表、合同中心等常用功能快捷入口,用户可通过工作台的快捷入口一键跳转至高频使用的功能页面,P0,一期
数据分析,销售经营,销售经营分析,面向运营专员和管理层提供线索数量、成交金额、转化率等核心指标分析，展示销售漏斗、线索增长趋势、销售排行榜等,用户可在销售经营分析页查看指标卡、漏斗图、趋势图和排行榜，按站点和时间筛选数据,P1,一期
数据分析,获客分析,获客渠道分析,面向运营专员分析邮件和WhatsApp渠道的获客效能，包括消息量、AI识别量、线索数、转化率等指标,用户可在获客分析页按渠道查看效能指标卡片和来源站点价值分析表格,P1,一期
数据分析,客户经营,客户经营分析,面向全部角色分析客户总量、新增客户、成交客户、客户增长率等指标，展示行业分布、国家分布、转化趋势图表,用户可在客户经营分析页查看指标卡和图表，业务员查看本人数据简化视图,P1,一期
站点管理,站点管理,站点列表管理,系统管理员可查看所有站点列表，支持按站点名称/编码搜索，进行新增、编辑、启用/停用站点操作,系统管理员可完成站点的全生命周期管理，停用后该站点停止接收新消息但历史数据保留,P0,一期
站点管理,站点管理,站点配置,系统管理员可进入站点配置页，配置公海回收规则（启用自动回收、超时时长）和AI规则（启用AI识别开关）,系统管理员可分别为每个站点配置独立的公海规则和AI规则,P0,一期
站点管理,站点管理,站点详情查看,系统管理员可查看站点详情，包括统计概览和信息详情,系统管理员进入站点详情页可查看站点的完整信息和统计数据,P0,一期
系统管理,用户管理,用户列表管理,系统管理员可查看所有用户列表，支持按关键词、状态、角色、授权站点搜索，进行新增、编辑、启用/停用、重置密码操作,系统管理员可完成用户的创建、编辑、启停和密码重置，停用用户不可登录但名下数据保留,P0,一期
系统管理,用户管理,用户权限配置,系统管理员在新增/编辑用户时可配置用户角色、授权站点和所属团队,系统管理员可为用户分配合适的角色和授权站点以控制数据访问范围,P0,一期
系统管理,角色管理,角色查看（预置）,系统管理员可查看系统预置的四个角色（业务员、运营专员、协同人、系统管理员）及对应权限，不支持动态CRUD延二期,系统管理员可查看预置角色列表和权限配置,P0,一期
系统管理,菜单管理,菜单查看（预置）,系统管理员可查看系统预置的菜单树和权限点，不支持动态CRUD延二期,系统管理员可查看预置菜单结构,P0,一期
系统管理,字典管理,字典配置管理,系统管理员可管理业务字典，包括客户域、线索域、合同域、系统域的分类和字典项，支持增删改启停,系统管理员可维护字典项（如行业、来源渠道、跟进方式、跟进阶段、标签等），停用的字典项新增数据不可选但历史数据不受影响,P0,一期
系统管理,系统参数,通用参数配置,系统管理员可配置登录超时时长、密码规则、列表分页、导出上限、强制改密等通用系统参数,系统管理员可在系统参数页修改各项参数并立即生效，部分参数下次登录生效,P1,一期
系统管理,系统参数,业务规则配置,系统管理员可配置未跟进自动回收天数、自动创建线索开关、客户负责人变更同步规则等业务规则,系统管理员可调整业务规则参数以适配不同管理需求,P1,一期
系统管理,服务协议配置,邮件服务配置,系统管理员可配置全局邮件服务的IMAP/SMTP服务器、端口、账号密码等参数，支持测试连接,系统管理员完成邮件服务配置后可测试连接是否正常,P0,一期
系统管理,服务协议配置,WhatsApp服务配置,系统管理员可配置WhatsApp服务的Provider、API Key、Token等参数，支持测试连接,系统管理员完成WhatsApp服务配置后可测试连接是否正常,P0,一期
系统管理,服务协议配置,钉钉应用配置,系统管理员可配置钉钉应用的AppKey、AppSecret、回调地址等参数，支持同步钉钉员工,系统管理员完成钉钉配置后可测试扫码登录,P1,一期
系统管理,服务协议配置,消息推送配置,系统管理员可配置消息推送渠道（钉钉/站内信）参数,系统管理员完成推送配置后可测试推送,P1,一期
系统管理,系统配置,全局开关管理,系统管理员可配置AI功能开关（邮件分析、WhatsApp分析、企业信息提取）、消息接收开关、维护模式等全局开关,系统管理员可一键开启或关闭各AI功能和业务开关，立即生效,P0,一期
系统管理,系统日志,系统日志查看,系统管理员可查看登录日志、操作日志和配置变更日志，支持按时间筛选和导出,系统管理员可在三个日志标签页中查看完整的审计记录并支持导出CSV,P0,一期
AI能力管理,AI服务管理,AI能力列表管理,系统管理员可查看所有AI能力配置列表，支持新增、编辑、启用/停用和删除AI服务商及模型配置,系统管理员可管理AI服务商（OpenAI、通义千问等）的连接配置，API端点异常时自动标记,P0,一期
通知管理,通知配置,通知场景配置,系统管理员可查看和编辑系统内置通知场景的推送渠道、通知对象、通知内容和启停状态,系统管理员可配置各业务场景的通知规则，配置后立即生效,P1,一期
个人中心,个人设置,我的资料查看,用户可在个人中心查看和编辑个人资料（头像、姓名、手机号、邮箱）,用户可查看和更新个人资料信息,P0,一期
个人中心,账号绑定,邮箱绑定管理,用户可在个人中心绑定和解绑多个邮箱账号，绑定后用于邮件模块的消息收发,用户可新增和删除绑定的邮箱，同一邮箱不可被多用户绑定,P0,一期
个人中心,账号绑定,WhatsApp账号绑定,用户可在个人中心绑定和解绑WhatsApp账号并指定归属站点,用户可绑定和解绑WhatsApp账号，绑定站点作为线索来源站点,P0,一期
个人中心,密码管理,修改密码,用户可在个人中心修改登录密码，需满足密码复杂度要求,用户修改密码后需重新登录，密码策略遵循系统参数配置,P0,一期
登录认证,登录,账号密码登录,用户可通过登录账号和密码登录系统，支持记住账号功能,用户输入正确的账号密码后可登录系统，记住账号后下次自动填充账号,P0,一期
登录认证,登录,钉钉扫码登录,用户可通过钉钉扫码方式登录系统，无需输入账号密码,用户打开钉钉扫描二维码后可自动登录系统,P1,一期
登录认证,登录,登录日志,系统自动记录每次登录操作的时间、账号、IP、方式、结果、浏览器和操作系统信息,登录日志在系统管理中可供系统管理员查看,P0,一期
