功能模块,一级功能,产品(1人,UI(1人),前端(1人),后端(2人),测试(1人),合计(人天),,,,
登录,账号密码登录,0.5,1,1,1.5,1,5,,,,
登录,钉钉扫码登录,0,0,0,0,0,0,,,,
登录,找回密码,0,0,0,0.5,0,0.5,,,,
登录,首次登录改密,0,0,0,0.5,0,0.5,,,,
登录,会话管理,0,0,0,0.5,0,0.5,,,,
登录,登录安全,0,0,0,0.5,0.5,1,,,,
工作台,指标概览,0.5,0.5,0.5,1,0,2.5,,,,
工作台,数据筛选,0,0,0,0,0,0,,,,
工作台,销售漏斗,0,0,1,1,0,2,,,,
工作台,成交趋势,0,0,1,1,0,2,,,,
工作台,快捷入口,0,0,0,0,0,0,,,,
邮件,邮件列表,0.5,0.5,0.5,1,0.5,3,,,,
邮件,邮件详情,0,0,0,0.5,0,0.5,,,,
邮件,AI智能分析,0.5,0.5,0.5,1,0.5,3,,,,
邮件,线索转化,0,0,0,0.5,0,0.5,,,,
邮件,邮件操作,0,0,0,0.5,0,0.5,,,,
WhatsApp,会话列表,0.5,0.5,0.5,1,0.5,3,,,,
WhatsApp,消息详情,0,0,0,0.5,0,0.5,,,,
WhatsApp,AI客服,1,1,1.5,2.5,1.5,7.5,,,,
WhatsApp,AI智能分析,0.5,0.5,0.5,1,0.5,3,,,,
WhatsApp,线索转化,0,0,0,0.5,0,0.5,,,,
WhatsApp,客户关联,0,0,0,0.5,0,0.5,,,,
WhatsApp,消息操作,0,0,0,0.5,0,0.5,,,,
线索列表,状态筛选Tabs,0.5,0,0.5,1,0.5,2.5,,,,
线索列表,列表查询,0.5,0,0.5,1,0.5,2.5,,,,
线索列表,线索表格,0,0,0.5,0.5,0.5,1.5,,,,
线索列表,操作维护,1.5,1,1.5,2.5,1.5,8,,,,
线索列表,打标弹窗,0.5,0.5,0.5,1,0.5,3,,,,
线索列表,编辑线索,0.5,0.5,0.5,1,0.5,3,,,,
线索详情,详情头部,0,0,0,0,0,0,,,,
线索详情,详情操作,0.5,0,0.5,1,0.5,2.5,,,,
线索详情,沟通记录,0,0,0,0.5,0,0.5,,,,
线索详情,跟进日志,0,0,0,0.5,0,0.5,,,,
线索详情,关联合同,0,0,0,0,0,0,,,,
线索详情,AI画像,0.5,1,0.5,1,0.5,3.5,,,,
线索详情,基础信息,0,0,0,0,0,0,,,；。·,
跟进日志,查询,0,0,0,0.5,0,0.5,,,,
跟进日志,列表,0,0,0,0.5,0.5,1,,,regv,
跟进日志,操作,0,0,0,0,0,0,,,,
录入跟进,跟进表单,0.5,0.5,0.5,1,0.5,3,,,,
公海池,列表查询,0.5,0.5,0.5,1.5,0.5,3.5,,,,
公海池,公海列表,0,0,0,0,0,0,,,,
公海池,操作维护,0,0,0,0,0,0,,,,
分配操作,分配表单,0.5,0,0.5,1,0.5,2.5,,,,
分配操作,分配弹窗,0,0,0,0,0,0,,,,
分配操作,回收操作,0,0,0,0,0,0,,,,
转客户操作,客户转交,0.5,0,0.5,1,0.5,2.5,,,,
客户列表,列表查询,0.5,0,0.5,1,0.5,2.5,,,,
客户列表,客户表格,0,0,0,0.5,0,0.5,,,,
客户列表,操作维护,1.5,1,1.5,2.5,1.5,8,,,,
客户列表,新建客户,0,0,0.5,1,0.5,2,,,,
客户详情,详情头部,0,0,0,0,0,0,,,,
客户详情,详情快捷操作,0,0,0,0,0,0,,,,
客户详情,客户信息,0.5,0.5,0.5,1,0.5,3,,,,
客户详情,线索记录,0,0,0,0,0,0,,,,
客户详情,联系人,0,0,0,0,0,0,,,,
客户详情,合同,0,0,0,0,0,0,,,,
客户详情,客户画像,0.5,1,0.5,1,1,4,,,,
合同中心,列表查询,0,0,0,0,0,0,,,,
合同中心,合同表格,0,0,0,0,0,0,,,,
合同中心,操作维护,0.5,0,0.5,1,0.5,2.5,,,,
合同中心,新增合同,0,0,0,0,0,0,,,,
合同详情,详情头部,0,0,0,0,0,0,,,,
合同详情,详情操作,0,0,0,0,0,0,,,,
合同详情,基本信息,0,0,0,0,0,0,,,,
合同详情,操作记录,0,0,0,0,0,0,,,,
销售经营,分析筛选,0.5,0.5,0.5,1,0,2.5,,,,
销售经营,指标卡片,0,0,0,0,0,0,,,,
销售经营,销售漏斗,0,0,0,0,0,0,,,,
销售经营,趋势图,0,0,0,0,0,0,,,,
销售经营,销售排行榜,0,0,0,0,0,0,,,,
获客分析,分析筛选,0.5,0.5,0.5,1,0,2.5,,,,
获客分析,指标卡片,0,0,0,0,0,0,,,,
获客分析,渠道效能,0,0,0,0,0,0,,,,
获客分析,站点价值,0,0,0,0,0,0,,,,
客户经营,分析筛选,0.5,0.5,0.5,1,0,2.5,,,,
客户经营,指标卡片,0,0,0,0,0,0,,,,
客户经营,行业分布,0,0,0,0,0,0,,,,
客户经营,国家分布,0,0,0,0,0,0,,,,
客户经营,转化趋势,0,0,0,0,0,0,,,,
站点管理,列表查询,0.5,0,0.5,1,0,2,,,,
站点管理,站点表格,0,0,0,0.5,0,0.5,,,,
站点管理,操作维护,0.5,0,0.5,1,0,2,,,,
站点详情,详情头部,0,0,0,0,0,0,,,,
站点详情,详情操作,0.5,0,0.5,1,0,2,,,,
站点配置,运营负责人,0.5,0.5,0.5,1,0,2.5,,,,
站点配置,业务流程,0.5,0.5,0.5,1,0,2.5,,,,
站点配置,公海规则,0,0,0,1.5,1,2.5,,,,
站点配置,AI规则,1,1,1,2,1,6,,,,
用户管理,列表查询,0.5,0,0.5,1,0.5,2.5,,,,
用户管理,用户表格,0,0,0,0.5,0,0.5,,,,
用户管理,操作维护,0,0,0.5,1,0.5,2,,,,
用户管理,新增用户,0,0.5,0.5,1,0.5,2.5,,,,
角色权限,角色列表,0.5,0.5,0.5,1,0.5,3,,,,
角色权限,权限矩阵,1,0,1.5,2.5,1.5,6.5,,,,
角色权限,内置角色,1,0.5,0.5,1,0.5,3.5,,,,
系统日志,登录日志,0,0,0,1,0.5,1.5,,,,
系统日志,操作日志,0,0,0.5,1,0.5,2,,,,
系统日志,日志详情,0,0,0,0,0,0,,,,
AI能力管理,AI能力列表,0.5,0.5,0.5,1,0.5,3,,,,
AI能力管理,新增AI能力,0,0,0,0,0,0,,,,
AI能力管理,操作维护,0,0.5,0.5,1,0.5,2.5,,,,
AI能力管理,业务关联设置,0.5,0,0.5,1,0.5,2.5,,,,
AI能力管理,业务关联AI能力,0,0,0,0,0,0,,,,
系统参数,消息提醒,0,0,0.5,1,0.5,2,,,,
系统参数,系统参数,0,0,0,0,0.5,0.5,,,,
个人中心,我的资料,0,0,0,0,0,0,,,,
个人中心,账号绑定,0.5,0.5,0.5,1,0.5,3,,,,
个人中心,修改密码,0.5,0.5,0.5,1,0.5,3,,,,
个人中心,登录安全,0,0,0,0,0,0,,,,
消息管理,消息模板,0.5,0.5,0.5,1,0.5,3,,,,
消息管理,推送管理,0.5,0.5,0.5,1,0.5,3,,,,
消息管理,新增推送,0.5,0.5,0.5,1,0.5,3,,,,
项目准备,需求确认与设计,3,0,0,1,1,5,,,,
基础能力,框架与通用组件,1,3,3,2,1,10,,,,
,,29.5,22.5,35,74,31,192,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
